Date,District,Division,Latitude,Longitude,Temperature_2m_C,Temperature_Max_C,Temperature_Min_C,T2MDEW,Relative_Humidity_%,Precipitation_mm,Wind_Speed_m/s,WS10M,Wind_Direction_deg,Surface_Pressure_kPa,Solar_Radiation_kWh/m2,ALLSKY_SFC_LW_DWN,T2M_RANGE,QV2M
2024-08-16,Dhaka,Dhaka,23.8103,90.4125,27.96,30.63,25.88,26.11,89.95,18.84,1.76,2.66,123.0,100.15,13.71,37.9,4.75,21.26
2024-08-17,Dhaka,Dhaka,23.8103,90.4125,27.58,29.48,26.01,26.11,91.79,13.31,2.6,3.71,78.7,100.2,13.13,38.22,3.47,21.26
2024-08-18,Dhaka,Dhaka,23.8103,90.4125,27.09,28.63,25.57,26.1,94.23,24.36,3.81,5.44,79.9,100.28,11.75,38.16,3.06,21.24
2024-08-19,Dhaka,Dhaka,23.8103,90.4125,27.43,29.43,26.01,26.35,93.83,48.34,3.45,4.92,129.6,100.1,3.98,38.21,3.42,21.6
2024-08-20,Dhaka,Dhaka,23.8103,90.4125,28.27,30.72,26.42,26.89,92.33,41.5,3.83,5.46,177.6,100.26,11.21,38.41,4.3,22.27
2024-08-21,Dhaka,Dhaka,23.8103,90.4125,27.96,29.3,26.96,27.11,95.05,85.01,3.19,4.58,171.2,100.37,2.48,38.21,2.34,22.53
2024-08-22,Dhaka,Dhaka,23.8103,90.4125,27.63,29.41,26.1,26.72,94.75,50.4,3.01,4.31,167.0,100.23,3.42,38.15,3.31,22.06
2024-08-23,Dhaka,Dhaka,23.8103,90.4125,27.15,28.59,25.88,26.17,94.31,6.82,2.8,4.05,143.9,100.43,13.75,37.78,2.71,21.29
2024-08-24,Dhaka,Dhaka,23.8103,90.4125,27.46,29.81,25.73,25.99,91.82,7.65,2.42,3.51,156.6,100.46,19.26,37.65,4.08,21.06
2024-08-25,Dhaka,Dhaka,23.8103,90.4125,26.91,28.83,25.35,25.6,92.61,22.95,2.66,3.83,129.5,100.26,8.8,37.61,3.48,20.61
2024-08-26,Dhaka,Dhaka,23.8103,90.4125,26.64,28.8,24.58,25.45,93.17,6.55,3.56,5.12,123.1,100.29,11.89,37.58,4.22,20.44
2024-08-27,Dhaka,Dhaka,23.8103,90.4125,27.94,31.38,25.19,26.08,89.98,1.37,2.21,3.2,153.2,100.47,15.89,37.6,6.19,21.18
2024-08-28,Dhaka,Dhaka,23.8103,90.4125,28.49,31.61,25.78,25.59,85.07,2.16,0.99,1.51,174.4,100.4,11.13,37.63,5.83,20.58
2024-08-29,Dhaka,Dhaka,23.8103,90.4125,29.15,32.49,26.09,26.22,84.83,1.29,0.73,1.17,194.9,100.29,21.73,37.88,6.4,21.4
2024-08-30,Dhaka,Dhaka,23.8103,90.4125,28.2,31.13,26.34,26.39,90.1,3.87,1.44,2.24,190.5,100.36,20.6,37.84,4.79,21.59
2024-08-31,Dhaka,Dhaka,23.8103,90.4125,27.59,29.09,26.03,26.4,93.24,11.14,1.87,2.89,155.0,100.43,19.27,37.69,3.06,21.59
2024-08-16,Faridpur,Dhaka,23.607,89.8429,28.05,30.09,26.07,26.46,91.3,11.35,2.05,3.02,103.3,100.14,15.6,38.11,4.02,21.73
2024-08-17,Faridpur,Dhaka,23.607,89.8429,27.87,30.64,26.18,26.13,90.54,8.36,2.33,3.29,75.1,100.15,19.52,37.88,4.46,21.29
2024-08-18,Faridpur,Dhaka,23.607,89.8429,27.49,29.31,25.83,26.56,94.54,33.99,4.05,5.74,73.5,100.18,8.02,38.22,3.48,21.86
2024-08-19,Faridpur,Dhaka,23.607,89.8429,27.55,28.51,26.59,26.67,94.89,35.51,2.46,3.51,127.4,100.06,10.42,38.28,1.92,22.02
2024-08-20,Faridpur,Dhaka,23.607,89.8429,28.48,31.35,26.13,26.95,91.55,14.5,3.15,4.45,198.7,100.28,15.5,38.39,5.22,22.35
2024-08-21,Faridpur,Dhaka,23.607,89.8429,28.15,29.42,26.95,27.29,95.01,40.89,2.7,3.87,193.4,100.35,10.76,38.29,2.47,22.78
2024-08-22,Faridpur,Dhaka,23.607,89.8429,28.07,30.0,26.51,26.95,93.62,37.13,3.05,4.32,212.9,100.3,9.19,38.33,3.49,22.34
2024-08-23,Faridpur,Dhaka,23.607,89.8429,27.43,29.09,26.1,26.41,94.11,15.07,3.03,4.3,138.1,100.39,14.05,38.06,2.99,21.62
2024-08-24,Faridpur,Dhaka,23.607,89.8429,27.53,29.45,25.98,26.17,92.27,10.7,2.69,3.89,157.9,100.43,16.87,37.69,3.47,21.28
2024-08-25,Faridpur,Dhaka,23.607,89.8429,27.12,29.07,25.67,25.7,92.04,58.52,1.64,2.38,136.8,100.22,8.81,37.64,3.4,20.74
2024-08-26,Faridpur,Dhaka,23.607,89.8429,26.77,28.3,25.41,25.92,94.95,14.57,3.83,5.46,132.1,100.2,8.82,37.67,2.89,21.03
2024-08-27,Faridpur,Dhaka,23.607,89.8429,27.4,30.39,24.87,25.75,90.89,2.38,1.84,2.73,149.0,100.48,12.86,37.52,5.52,20.76
2024-08-28,Faridpur,Dhaka,23.607,89.8429,28.24,31.62,25.52,25.54,86.0,4.24,1.05,1.63,134.8,100.4,18.89,37.04,6.1,20.52
2024-08-29,Faridpur,Dhaka,23.607,89.8429,28.47,31.67,25.8,26.21,87.95,1.73,1.22,1.85,164.5,100.31,22.93,37.48,5.87,21.38
2024-08-30,Faridpur,Dhaka,23.607,89.8429,28.07,31.59,25.7,26.08,89.28,4.45,1.41,2.11,158.2,100.37,20.16,37.52,5.89,21.2
2024-08-31,Faridpur,Dhaka,23.607,89.8429,27.98,30.02,26.04,26.7,92.83,6.04,2.07,3.1,134.8,100.41,19.08,37.56,3.98,21.99
2024-08-16,Gazipur,Dhaka,24.0022,90.4264,27.96,30.63,25.88,26.11,89.95,18.84,1.76,2.66,123.0,100.15,15.05,38.25,4.75,21.26
2024-08-17,Gazipur,Dhaka,24.0022,90.4264,27.58,29.48,26.01,26.11,91.79,13.31,2.6,3.71,78.7,100.2,16.26,38.0,3.47,21.26
2024-08-18,Gazipur,Dhaka,24.0022,90.4264,27.09,28.63,25.57,26.1,94.23,24.36,3.81,5.44,79.9,100.28,13.85,37.9,3.06,21.24
